Pokemon No.,Name,Type 1,Type 2,Max CP,Max HP,Image URL
020,Raticate,Normal,,1454,99,http://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png
021,Spearow,Normal,Flying,691,75,http://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png
022,Fearow,Normal,Flying,1758,115,http://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png
023,Ekans,Poison,,830,67,http://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png
024,Arbok,Poison,,1779,107,http://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png
025,Pikachu,Electric,,894,67,http://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png
026,Raichu,Electric,,2042,107,http://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png
027,Sandshrew,Ground,,804,91,http://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png
028,Sandslash,Ground,,1823,130,http://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png
029,Nidoran♀,Poison,,882,99,http://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png
030,Nidorina,Poison,,1414,122,http://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png
031,Nidoqueen,Poison,Ground,2502,154,http://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png
032,Nidoran♂,Poison,,849,84,http://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png
033,Nidorino,Poison,,1382,108,http://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png
034,Nidoking,Poison,Ground,2492,140,http://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png
035,Clefairy,Fairy,,1209,122,http://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png
036,Clefable,Fairy,,2414,162,http://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png
037,Vulpix,Fire,,837,72,http://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png
038,Ninetales,Fire,,2203,127,http://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png
039,Jigglypuff,Normal,Fairy,924,194,http://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png
040,Wigglytuff,Normal,Fairy,2192,233,http://cdn.bulbagarden.net/upload/thumb/9/92/040Wigglytuff.png/250px-040Wigglytuff.png
041,Zubat,Poison,Flying,647,75,http://cdn.bulbagarden.net/upload/thumb/d/da/041Zubat.png/250px-041Zubat.png
042,Golbat,Poison,Flying,1935,130,http://cdn.bulbagarden.net/upload/thumb/0/0c/042Golbat.png/250px-042Golbat.png
043,Oddish,Grass,Poison,1156,83,http://cdn.bulbagarden.net/upload/thumb/4/43/043Oddish.png/250px-043Oddish.png
044,Gloom,Grass,Poison,1701,107,http://cdn.bulbagarden.net/upload/thumb/2/2a/044Gloom.png/250px-044Gloom.png
045,Vileplume,Grass,Poison,2510,130,http://cdn.bulbagarden.net/upload/thumb/6/6a/045Vileplume.png/250px-045Vileplume.png
046,Paras,Bug,Grass,923,67,http://cdn.bulbagarden.net/upload/thumb/d/d4/046Paras.png/250px-046Paras.png
047,Parasect,Bug,Grass,1759,107,http://cdn.bulbagarden.net/upload/thumb/8/80/047Parasect.png/250px-047Parasect.png
048,Venonat,Bug,Poison,1036,107,http://cdn.bulbagarden.net/upload/thumb/a/ad/048Venonat.png/250px-048Venonat.png
049,Venomoth,Bug,Poison,1903,122,http://cdn.bulbagarden.net/upload/thumb/d/d3/049Venomoth.png/250px-049Venomoth.png
050,Diglett,Ground,,460,27,http://cdn.bulbagarden.net/upload/thumb/3/31/050Diglett.png/250px-050Diglett.png
051,Dugtrio,Ground,,1176,67,http://cdn.bulbagarden.net/upload/thumb/e/e5/051Dugtrio.png/250px-051Dugtrio.png
052,Meowth,Normal,,761,75,http://cdn.bulbagarden.net/upload/thumb/d/d6/052Meowth.png/250px-052Meowth.png
053,Persian,Normal,,1643,115,http://cdn.bulbagarden.net/upload/thumb/1/13/053Persian.png/250px-053Persian.png
054,Psyduck,Water,,1117,91,http://cdn.bulbagarden.net/upload/thumb/5/53/054Psyduck.png/250px-054Psyduck.png
055,Golduck,Water,,2403,138,http://cdn.bulbagarden.net/upload/thumb/f/fe/055Golduck.png/250px-055Golduck.png
056,Mankey,Fighting,,884,75,http://cdn.bulbagarden.net/upload/thumb/4/41/056Mankey.png/250px-056Mankey.png
057,Primeape,Fighting,,1877,115,http://cdn.bulbagarden.net/upload/thumb/9/9a/057Primeape.png/250px-057Primeape.png
058,Growlithe,Fire,,1344,99,http://cdn.bulbagarden.net/upload/thumb/3/3d/058Growlithe.png/250px-058Growlithe.png
059,Arcanine,Fire,,3005,154,http://cdn.bulbagarden.net/upload/thumb/b/b8/059Arcanine.png/250px-059Arcanine.png
060,Poliwag,Water,,801,75,http://cdn.bulbagarden.net/upload/thumb/4/49/060Poliwag.png/250px-060Poliwag.png
061,Poliwhirl,Water,,1350,115,http://cdn.bulbagarden.net/upload/thumb/a/a9/061Poliwhirl.png/250px-061Poliwhirl.png
062,Poliwrath,Water,Fighting,2523,154,http://cdn.bulbagarden.net/upload/thumb/2/2d/062Poliwrath.png/250px-062Poliwrath.png
063,Abra,Psychic,,604,51,http://cdn.bulbagarden.net/upload/thumb/6/62/063Abra.png/250px-063Abra.png
064,Kadabra,Psychic,,1140,75,http://cdn.bulbagarden.net/upload/thumb/9/97/064Kadabra.png/250px-064Kadabra.png
065,Alakazam,Psychic,,1826,99,http://cdn.bulbagarden.net/upload/thumb/c/cc/065Alakazam.png/250px-065Alakazam.png
066,Machop,Fighting,,1097,122,http://cdn.bulbagarden.net/upload/thumb/8/85/066Machop.png/250px-066Machop.png
067,Machoke,Fighting,,1773,138,http://cdn.bulbagarden.net/upload/thumb/8/8e/067Machoke.png/250px-067Machoke.png
068,Machamp,Fighting,,2612,154,http://cdn.bulbagarden.net/upload/thumb/8/8f/068Machamp.png/250px-068Machamp.png
069,Bellsprout,Grass,Poison,1125,91,http://cdn.bulbagarden.net/upload/thumb/a/a2/069Bellsprout.png/250px-069Bellsprout.png
070,Weepinbell,Grass,Poison,1736,115,http://cdn.bulbagarden.net/upload/thumb/9/9f/070Weepinbell.png/250px-070Weepinbell.png
071,Victreebel,Grass,Poison,2548,138,http://cdn.bulbagarden.net/upload/thumb/b/be/071Victreebel.png/250px-071Victreebel.png
072,Tentacool,Water,Poison,911,75,http://cdn.bulbagarden.net/upload/thumb/4/4e/072Tentacool.png/250px-072Tentacool.png
073,Tentacruel,Water,Poison,2236,138,http://cdn.bulbagarden.net/upload/thumb/f/f6/073Tentacruel.png/250px-073Tentacruel.png
074,Geodude,Rock,Ground,855,75,http://cdn.bulbagarden.net/upload/thumb/9/98/074Geodude.png/250px-074Geodude.png
075,Graveler,Rock,Ground,1443,99,http://cdn.bulbagarden.net/upload/thumb/7/75/075Graveler.png/250px-075Graveler.png
076,Golem,Rock,Ground,2319,138,http://cdn.bulbagarden.net/upload/thumb/f/f2/076Golem.png/250px-076Golem.png
077,Ponyta,Fire,,1526,91,http://cdn.bulbagarden.net/upload/thumb/3/3b/077Ponyta.png/250px-077Ponyta.png
078,Rapidash,Fire,,2215,115,http://cdn.bulbagarden.net/upload/thumb/3/3f/078Rapidash.png/250px-078Rapidash.png
079,Slowpoke,Water,Psychic,1227,154,http://cdn.bulbagarden.net/upload/thumb/7/70/079Slowpoke.png/250px-079Slowpoke.png
080,Slowbro,Water,Psychic,2615,162,http://cdn.bulbagarden.net/upload/thumb/8/80/080Slowbro.png/250px-080Slowbro.png
081,Magnemite,Electric,Steel,897,51,http://cdn.bulbagarden.net/upload/thumb/6/6c/081Magnemite.png/250px-081Magnemite.png
082,Magneton,Electric,Steel,1893,91,http://cdn.bulbagarden.net/upload/thumb/7/72/082Magneton.png/250px-082Magneton.png
083,Farfetch'd,Normal,Flying,1272,94,http://cdn.bulbagarden.net/upload/thumb/f/f8/083Farfetch'd.png/250px-083Farfetch'd.png
084,Doduo,Normal,Flying,861,67,http://cdn.bulbagarden.net/upload/thumb/5/54/084Doduo.png/250px-084Doduo.png
085,Dodrio,Normal,Flying,1849,107,http://cdn.bulbagarden.net/upload/thumb/9/93/085Dodrio.png/250px-085Dodrio.png
086,Seel,Water,,1114,115,http://cdn.bulbagarden.net/upload/thumb/1/1f/086Seel.png/250px-086Seel.png
087,Dewgong,Water,Ice,2161,154,http://cdn.bulbagarden.net/upload/thumb/c/c7/087Dewgong.png/250px-087Dewgong.png
088,Grimer,Poison,,1293,138,http://cdn.bulbagarden.net/upload/thumb/a/a0/088Grimer.png/250px-088Grimer.png
089,Muk,Poison,,2621,178,http://cdn.bulbagarden.net/upload/thumb/7/7c/089Muk.png/250px-089Muk.png
090,Shellder,Water,,828,59,http://cdn.bulbagarden.net/upload/thumb/4/40/090Shellder.png/250px-090Shellder.png
091,Cloyster,Water,Ice,2067,91,http://cdn.bulbagarden.net/upload/thumb/1/1d/091Cloyster.png/250px-091Cloyster.png
092,Gastly,Ghost,Poison,810,59,http://cdn.bulbagarden.net/upload/thumb/c/ca/092Gastly.png/250px-092Gastly.png
093,Haunter,Ghost,Poison,1390,83,http://cdn.bulbagarden.net/upload/thumb/6/62/093Haunter.png/250px-093Haunter.png
094,Gengar,Ghost,Poison,2093,107,http://cdn.bulbagarden.net/upload/thumb/c/c6/094Gengar.png/250px-094Gengar.png
095,Onix,Rock,Ground,863,67,http://cdn.bulbagarden.net/upload/thumb/9/9a/095Onix.png/250px-095Onix.png
096,Drowzee,Psychic,,1082,107,http://cdn.bulbagarden.net/upload/thumb/3/3e/096Drowzee.png/250px-096Drowzee.png
097,Hypno,Psychic,,2199,146,http://cdn.bulbagarden.net/upload/thumb/0/0a/097Hypno.png/250px-097Hypno.png
098,Krabby,Water,,797,59,http://cdn.bulbagarden.net/upload/thumb/a/a7/098Krabby.png/250px-098Krabby.png
099,Kingler,Water,,1836,99,http://cdn.bulbagarden.net/upload/thumb/7/71/099Kingler.png/250px-099Kingler.png
100,Voltorb,Electric,,845,75,http://cdn.bulbagarden.net/upload/thumb/d/da/100Voltorb.png/250px-100Voltorb.png
101,Electrode,Electric,,1657,107,http://cdn.bulbagarden.net/upload/thumb/8/84/101Electrode.png/250px-101Electrode.png
102,Exeggcute,Grass,Psychic,1107,107,http://cdn.bulbagarden.net/upload/thumb/a/af/102Exeggcute.png/250px-102Exeggcute.png
103,Exeggutor,Grass,Psychic,2976,162,http://cdn.bulbagarden.net/upload/thumb/2/24/103Exeggutor.png/250px-103Exeggutor.png
104,Cubone,Ground,,1013,91,http://cdn.bulbagarden.net/upload/thumb/2/2a/104Cubone.png/250px-104Cubone.png
105,Marowak,Ground,,1668,107,http://cdn.bulbagarden.net/upload/thumb/9/98/105Marowak.png/250px-105Marowak.png
106,Hitmonlee,Fighting,,1503,91,http://cdn.bulbagarden.net/upload/thumb/3/32/106Hitmonlee.png/250px-106Hitmonlee.png
107,Hitmonchan,Fighting,,1527,91,http://cdn.bulbagarden.net/upload/thumb/a/a3/107Hitmonchan.png/250px-107Hitmonchan.png
108,Lickitung,Normal,,1638,154,http://cdn.bulbagarden.net/upload/thumb/0/00/108Lickitung.png/250px-108Lickitung.png
109,Koffing,Poison,,1160,75,http://cdn.bulbagarden.net/upload/thumb/1/17/109Koffing.png/250px-109Koffing.png
110,Weezing,Poison,,2266,115,http://cdn.bulbagarden.net/upload/thumb/4/42/110Weezing.png/250px-110Weezing.png
111,Rhyhorn,Ground,Rock,1190,138,http://cdn.bulbagarden.net/upload/thumb/9/9b/111Rhyhorn.png/250px-111Rhyhorn.png
112,Rhydon,Ground,Rock,2259,178,http://cdn.bulbagarden.net/upload/thumb/4/47/112Rhydon.png/250px-112Rhydon.png
113,Chansey,Normal,,679,408,http://cdn.bulbagarden.net/upload/thumb/c/cd/113Chansey.png/250px-113Chansey.png
114,Tangela,Grass,,1752,115,http://cdn.bulbagarden.net/upload/thumb/3/3e/114Tangela.png/250px-114Tangela.png
115,Kangaskhan,Normal,,2057,178,http://cdn.bulbagarden.net/upload/thumb/4/4e/115Kangaskhan.png/250px-115Kangaskhan.png
116,Horsea,Water,,800,59,http://cdn.bulbagarden.net/upload/thumb/5/5a/116Horsea.png/250px-116Horsea.png
117,Seadra,Water,,1725,99,http://cdn.bulbagarden.net/upload/thumb/2/26/117Seadra.png/250px-117Seadra.png
118,Goldeen,Water,,972,83,http://cdn.bulbagarden.net/upload/thumb/7/7b/118Goldeen.png/250px-118Goldeen.png
119,Seaking,Water,,2058,138,http://cdn.bulbagarden.net/upload/thumb/6/6a/119Seaking.png/250px-119Seaking.png
120,Staryu,Water,,944,59,http://cdn.bulbagarden.net/upload/thumb/4/4f/120Staryu.png/250px-120Staryu.png
121,Starmie,Water,Psychic,2197,107,http://cdn.bulbagarden.net/upload/thumb/c/cd/121Starmie.png/250px-121Starmie.png
122,Mr. Mime,Psychic,Fairy,1505,75,http://cdn.bulbagarden.net/upload/thumb/e/ec/122Mr._Mime.png/250px-122Mr._Mime.png
123,Scyther,Bug,Flying,2088,122,http://cdn.bulbagarden.net/upload/thumb/b/ba/123Scyther.png/250px-123Scyther.png
124,Jynx,Ice,Psychic,1728,115,http://cdn.bulbagarden.net/upload/thumb/7/7c/124Jynx.png/250px-124Jynx.png
125,Electabuzz,Electric,,2134,115,http://cdn.bulbagarden.net/upload/thumb/d/de/125Electabuzz.png/250px-125Electabuzz.png
126,Magmar,Fire,,2281,115,http://cdn.bulbagarden.net/upload/thumb/8/8c/126Magmar.png/250px-126Magmar.png
127,Pinsir,Bug,,2137,115,http://cdn.bulbagarden.net/upload/thumb/7/71/127Pinsir.png/250px-127Pinsir.png
128,Tauros,Normal,,1857,130,http://cdn.bulbagarden.net/upload/thumb/b/b8/128Tauros.png/250px-128Tauros.png
129,Magikarp,Water,,264,43,http://cdn.bulbagarden.net/upload/thumb/0/02/129Magikarp.png/250px-129Magikarp.png
130,Gyarados,Water,Flying,2708,162,http://cdn.bulbagarden.net/upload/thumb/4/41/130Gyarados.png/250px-130Gyarados.png
131,Lapras,Water,Ice,3002,218,http://cdn.bulbagarden.net/upload/thumb/a/ab/131Lapras.png/250px-131Lapras.png
132,Ditto,Normal,,926,88,http://cdn.bulbagarden.net/upload/thumb/3/36/132Ditto.png/250px-132Ditto.png
133,Eevee,Normal,,1084,99,http://cdn.bulbagarden.net/upload/thumb/e/e2/133Eevee.png/250px-133Eevee.png
134,Vaporeon,Water,,2836,218,http://cdn.bulbagarden.net/upload/thumb/f/fd/134Vaporeon.png/250px-134Vaporeon.png
135,Jolteon,Electric,,2155,115,http://cdn.bulbagarden.net/upload/thumb/b/bb/135Jolteon.png/250px-135Jolteon.png
136,Flareon,Fire,,2662,115,http://cdn.bulbagarden.net/upload/thumb/d/dd/136Flareon.png/250px-136Flareon.png
137,Porygon,Normal,,1703,115,http://cdn.bulbagarden.net/upload/thumb/6/6b/137Porygon.png/250px-137Porygon.png
138,Omanyte,Rock,Water,1127,67,http://cdn.bulbagarden.net/upload/thumb/7/79/138Omanyte.png/250px-138Omanyte.png
139,Omastar,Rock,Water,2249,122,http://cdn.bulbagarden.net/upload/thumb/4/43/139Omastar.png/250px-139Omastar.png
140,Kabuto,Rock,Water,1112,59,http://cdn.bulbagarden.net/upload/thumb/f/f9/140Kabuto.png/250px-140Kabuto.png
141,Kabutops,Rock,Water,2145,107,http://cdn.bulbagarden.net/upload/thumb/2/29/141Kabutops.png/250px-141Kabutops.png
142,Aerodactyl,Rock,Flying,2180,138,http://cdn.bulbagarden.net/upload/thumb/e/e8/142Aerodactyl.png/250px-142Aerodactyl.png
143,Snorlax,Normal,,3135,265,http://cdn.bulbagarden.net/upload/thumb/f/fb/143Snorlax.png/250px-143Snorlax.png
144,Articuno,Ice,Flying,2999,154,http://cdn.bulbagarden.net/upload/thumb/4/4e/144Articuno.png/250px-144Articuno.png
145,Zapdos,Electric,Flying,3136,154,http://cdn.bulbagarden.net/upload/thumb/e/e3/145Zapdos.png/250px-145Zapdos.png
146,Moltres,Fire,Flying,3263,154,http://cdn.bulbagarden.net/upload/thumb/1/1b/146Moltres.png/250px-146Moltres.png
147,Dratini,Dragon,,990,76,http://cdn.bulbagarden.net/upload/thumb/c/cc/147Dratini.png/250px-147Dratini.png
148,Dragonair,Dragon,,1760,108,http://cdn.bulbagarden.net/upload/thumb/9/93/148Dragonair.png/250px-148Dragonair.png
149,Dragonite,Dragon,Flying,3525,156,http://cdn.bulbagarden.net/upload/thumb/8/8b/149Dragonite.png/250px-149Dragonite.png
150,Mewtwo,Psychic,,4174,180,http://cdn.bulbagarden.net/upload/thumb/7/78/150Mewtwo.png/250px-150Mewtwo.png
151,Mew,Psychic,,3322,170,http://cdn.bulbagarden.net/upload/thumb/b/b1/151Mew.png/250px-151Mew.png
